과목명,교수,전공,학년,학수번호,강의실,요일,강의시간
화공열역학2, 박정태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA05673,공D233,수,13-15
열및물질전달, 강성구," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA39697,공D232,화,07-09
열및물질전달, 강성구," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA39697,공D232,목,10-12
열및물질전달, 강성구," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA39697,공D232,화,10-12
열및물질전달, 강성구," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA39697,공D232,목,07-09
열및물질전달, 이승애," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA39697,공D231,화,07-09
열및물질전달, 이승애," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA39697,공D231,목,10-12
열및물질전달, 이승애," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA39697,공D231,화,10-12
열및물질전달, 이승애," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA39697,공D231,목,07-09
분리공정설계, 박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA39700,공D232,화,01-03
분리공정설계, 박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA39700,공D232,목,04-06
분리공정설계, 박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA39700,공D232,화,04-06
분리공정설계, 박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA39700,공D232,목,01-03
에너지전기화학, 임성기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA52117,공D233,화,10-12
에너지전기화학, 임성기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA52117,공D233,목,07-09
분자광학, 김봉기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA55457,공A204,화,01-03
분자광학, 김봉기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA55457,공A204,목,04-06
화공종합설계, 문두경," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA55511,공D231,화,13-19
화공종합설계, 민요셉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA55511,신공815,월,13-19
화공양론, 박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59272,공D231,월,01-03
화공양론, 박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59272,공D231,수,04-06
화공양론, 조한익," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59272,공B368,화,04-06
화공양론, 조한익," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59272,공B368,목,01-03
화공양론, 주지봉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA59272,공A204,화,04-06
